time,temperature,humidity,windspeed,uvindex,devicename
04/04/2022 00:00:00,3,75,3.6,0,weather-pro-10
04/04/2022 00:05:00,2.6,75.98,2.8,0,weather-pro-10
04/04/2022 00:10:00,3.9,75.22,3.5,0,weather-pro-10
04/04/2022 00:15:00,2.1,75.79,4.4,0,weather-pro-10
04/04/2022 00:20:00,2.3,75.14,3.7,0,weather-pro-10
04/04/2022 00:25:00,3.7,75.37,3.7,0,weather-pro-10
04/04/2022 00:30:00,2.5,74.22,2.8,0,weather-pro-10
04/04/2022 00:35:00,3,74.22,4.2,0,weather-pro-10
04/04/2022 00:40:00,3.3,75,3.1,0,weather-pro-10
04/04/2022 00:45:00,3.9,74.89,4.5,0,weather-pro-10
04/04/2022 00:50:00,3.4,74.52,3.6,0,weather-pro-10
04/04/2022 00:55:00,3.9,74.31,2.7,0,weather-pro-10
04/04/2022 01:00:00,3,75,7.6,0,weather-pro-10
04/04/2022 01:05:00,2,75.32,7.5,0,weather-pro-10
04/04/2022 01:10:00,2.1,74.34,7.1,0,weather-pro-10
04/04/2022 01:15:00,3.8,74.44,8.2,0,weather-pro-10
04/04/2022 01:20:00,3.6,75.74,8.4,0,weather-pro-10
04/04/2022 01:25:00,3.3,75.65,7,0,weather-pro-10
04/04/2022 01:30:00,3.3,75.69,6.9,0,weather-pro-10
04/04/2022 01:35:00,2.4,74.09,6.9,0,weather-pro-10
04/04/2022 01:40:00,2.1,75.43,6.8,0,weather-pro-10
04/04/2022 01:45:00,3.3,74.95,7.2,0,weather-pro-10
04/04/2022 01:50:00,2.5,75.05,7.8,0,weather-pro-10
04/04/2022 01:55:00,3.3,74.64,6.7,0,weather-pro-10
04/04/2022 02:00:00,2,88.69,0.7,0,weather-pro-10
04/04/2022 02:05:00,1.7,88.39,1,0,weather-pro-10
04/04/2022 02:10:00,2.9,88.31,0,0,weather-pro-10
04/04/2022 02:15:00,2,88.88,1.6,0,weather-pro-10
04/04/2022 02:20:00,1.1,89.41,1,0,weather-pro-10
04/04/2022 02:25:00,1.3,88.44,1.2,0,weather-pro-10
04/04/2022 02:30:00,2.2,87.93,0.8,0,weather-pro-10
04/04/2022 02:35:00,1.5,88.27,0.7,0,weather-pro-10
04/04/2022 02:40:00,2.6,89.41,0.2,0,weather-pro-10
04/04/2022 02:45:00,1.8,89.14,1.6,0,weather-pro-10
04/04/2022 02:50:00,2.4,87.8,0.8,0,weather-pro-10
04/04/2022 02:55:00,2,88.09,1.1,0,weather-pro-10
04/04/2022 03:00:00,3,75,3.6,0,weather-pro-10
04/04/2022 03:05:00,3.8,74.36,2.8,0,weather-pro-10
04/04/2022 03:10:00,3.2,75.24,3.2,0,weather-pro-10
04/04/2022 03:15:00,3.6,75.43,3.2,0,weather-pro-10
04/04/2022 03:20:00,3.6,74.48,3.6,0,weather-pro-10
04/04/2022 03:25:00,2.7,75.43,3.9,0,weather-pro-10
04/04/2022 03:30:00,3.8,75.26,3.2,0,weather-pro-10
04/04/2022 03:35:00,3.7,74.69,3.8,0,weather-pro-10
04/04/2022 03:40:00,2.8,75.68,3.8,0,weather-pro-10
04/04/2022 03:45:00,2.4,74.15,4.4,0,weather-pro-10
04/04/2022 03:50:00,3.1,75.44,3.4,0,weather-pro-10
04/04/2022 03:55:00,2.9,74.75,4.1,0,weather-pro-10
04/04/2022 04:00:00,1,93.03,3.6,0,weather-pro-10
04/04/2022 04:05:00,1.1,92.9,3.5,0,weather-pro-10
04/04/2022 04:10:00,1.1,92.96,2.8,0,weather-pro-10
04/04/2022 04:15:00,1.8,93.26,2.8,0,weather-pro-10
04/04/2022 04:20:00,0.1,92.69,4.4,0,weather-pro-10
04/04/2022 04:25:00,0.2,92.64,2.6,0,weather-pro-10
04/04/2022 04:30:00,0.7,92.72,2.8,0,weather-pro-10
04/04/2022 04:35:00,0.6,92.23,4.4,0,weather-pro-10
04/04/2022 04:40:00,1.8,92.12,3.7,0,weather-pro-10
04/04/2022 04:45:00,1.7,92.44,3.3,0,weather-pro-10
04/04/2022 04:50:00,1.5,92.86,3.5,0,weather-pro-10
04/04/2022 04:55:00,2,93.26,3.4,0,weather-pro-10
04/04/2022 05:00:00,1.5,93.03,3.4,0,weather-pro-10
04/04/2022 05:05:00,2.1,92.08,3.4,0,weather-pro-10
04/04/2022 05:10:00,1.2,93.72,3.5,0,weather-pro-10
04/04/2022 05:15:00,1.1,94.02,4.4,0,weather-pro-10
04/04/2022 05:20:00,1.7,93.49,4,0,weather-pro-10
04/04/2022 05:25:00,0.7,92.1,3.8,0,weather-pro-10
04/04/2022 05:30:00,2.5,92.26,4.4,0,weather-pro-10
04/04/2022 05:35:00,2.3,92.89,3.8,0,weather-pro-10
04/04/2022 05:40:00,2.4,93.32,2.4,0,weather-pro-10
04/04/2022 05:45:00,1.7,92.71,3.9,0,weather-pro-10
04/04/2022 05:50:00,1.5,92.1,2.9,0,weather-pro-10
04/04/2022 05:55:00,0.9,92.56,3.7,0,weather-pro-10
04/04/2022 06:00:00,2,86.6,1.8,0,weather-pro-10
04/04/2022 06:05:00,2.2,86.1,1.1,0,weather-pro-10
04/04/2022 06:10:00,2.9,87.54,2.4,0,weather-pro-10
04/04/2022 06:15:00,1.1,87.38,2.2,0,weather-pro-10
04/04/2022 06:20:00,1.3,87.29,2.5,0,weather-pro-10
04/04/2022 06:25:00,3,87.46,1.6,0,weather-pro-10
04/04/2022 06:30:00,2.9,86.59,1.1,0,weather-pro-10
04/04/2022 06:35:00,2.6,86.62,2.6,0,weather-pro-10
04/04/2022 06:40:00,2,86,0.8,0,weather-pro-10
04/04/2022 06:45:00,1.5,85.8,1.7,0,weather-pro-10
04/04/2022 06:50:00,2.7,86.67,0.9,0,weather-pro-10
04/04/2022 06:55:00,2.3,86.2,1.9,0,weather-pro-10
04/04/2022 07:00:00,2,80.52,1.8,0,weather-pro-10
04/04/2022 07:05:00,1.3,81.32,1.4,0,weather-pro-10
04/04/2022 07:10:00,2.7,81.24,1.4,0,weather-pro-10
