time,temperature,humidity,windspeed,uvindex,deviceid
04/04/2022 00:00:00,4,69.89,5.4,0,weather-pro-5
04/04/2022 00:05:00,4.1,69.53,4.8,0,weather-pro-5
04/04/2022 00:10:00,4.4,70.22,4.5,0,weather-pro-5
04/04/2022 00:15:00,4.4,70.54,5.4,0,weather-pro-5
04/04/2022 00:20:00,4.1,70.42,4.8,0,weather-pro-5
04/04/2022 00:25:00,3.5,69.87,5.7,0,weather-pro-5
04/04/2022 00:30:00,3.1,70.38,5.6,0,weather-pro-5
04/04/2022 00:35:00,3.4,70.56,6.3,0,weather-pro-5
04/04/2022 00:40:00,5,69.22,5,0,weather-pro-5
04/04/2022 00:45:00,3.7,69.35,4.9,0,weather-pro-5
04/04/2022 00:50:00,4.9,69.81,5.1,0,weather-pro-5
04/04/2022 00:55:00,3.6,70,5.9,0,weather-pro-5
04/04/2022 01:00:00,3,75,3.6,0,weather-pro-5
04/04/2022 01:05:00,3.3,75.53,3.9,0,weather-pro-5
04/04/2022 01:10:00,3.8,75.01,3.7,0,weather-pro-5
04/04/2022 01:15:00,3.5,74.5,3.2,0,weather-pro-5
04/04/2022 01:20:00,3.5,75.81,4,0,weather-pro-5
04/04/2022 01:25:00,3,74.69,4.1,0,weather-pro-5
04/04/2022 01:30:00,3,74.16,4.2,0,weather-pro-5
04/04/2022 01:35:00,2.3,74.23,2.7,0,weather-pro-5
04/04/2022 01:40:00,2,75.93,3.8,0,weather-pro-5
04/04/2022 01:45:00,2.4,74.12,4.6,0,weather-pro-5
04/04/2022 01:50:00,3.3,75.24,2.7,0,weather-pro-5
04/04/2022 01:55:00,3.9,74.4,3.6,0,weather-pro-5
04/04/2022 02:00:00,3,78.49,0,0,weather-pro-5
04/04/2022 02:05:00,3.5,78.78,0,0,weather-pro-5
04/04/2022 02:10:00,3.6,78.76,0.9,0,weather-pro-5
04/04/2022 02:15:00,3.9,77.9,0,0,weather-pro-5
04/04/2022 02:20:00,2.9,77.84,0.6,0,weather-pro-5
04/04/2022 02:25:00,3.3,78.34,0.9,0,weather-pro-5
04/04/2022 02:30:00,3.8,78.69,0.2,0,weather-pro-5
04/04/2022 02:35:00,2.6,78.38,0,0,weather-pro-5
04/04/2022 02:40:00,3.2,77.62,0.8,0,weather-pro-5
04/04/2022 02:45:00,3.6,77.6,0.1,0,weather-pro-5
04/04/2022 02:50:00,2,78.66,0,0,weather-pro-5
04/04/2022 02:55:00,2.1,79.48,0.8,0,weather-pro-5
04/04/2022 03:00:00,2,80.52,5.4,0,weather-pro-5
04/04/2022 03:05:00,2.6,81.02,5,0,weather-pro-5
04/04/2022 03:10:00,1.5,80.57,4.9,0,weather-pro-5
04/04/2022 03:15:00,1.1,80.58,4.6,0,weather-pro-5
04/04/2022 03:20:00,1.2,80.84,5.5,0,weather-pro-5
04/04/2022 03:25:00,1.6,81.2,5.1,0,weather-pro-5
04/04/2022 03:30:00,2.3,80.93,5.7,0,weather-pro-5
04/04/2022 03:35:00,1.2,81.41,5.9,0,weather-pro-5
04/04/2022 03:40:00,2.4,80.45,6.3,0,weather-pro-5
04/04/2022 03:45:00,1.3,81.13,5.6,0,weather-pro-5
04/04/2022 03:50:00,2.7,80.54,5,0,weather-pro-5
04/04/2022 03:55:00,2.9,80.92,4.6,0,weather-pro-5
04/04/2022 04:00:00,1,80.37,1.8,0,weather-pro-5
04/04/2022 04:05:00,0.1,79.77,2.5,0,weather-pro-5
04/04/2022 04:10:00,1.3,79.45,1.6,0,weather-pro-5
04/04/2022 04:15:00,0.2,79.72,1.8,0,weather-pro-5
04/04/2022 04:20:00,1.6,80.14,1.5,0,weather-pro-5
04/04/2022 04:25:00,1.2,80.07,1.1,0,weather-pro-5
04/04/2022 04:30:00,0.1,80.33,2.1,0,weather-pro-5
04/04/2022 04:35:00,1.1,80.12,1.1,0,weather-pro-5
04/04/2022 04:40:00,1.3,80.49,2.6,0,weather-pro-5
04/04/2022 04:45:00,0.2,80.49,2.7,0,weather-pro-5
04/04/2022 04:50:00,0.1,80.58,2.5,0,weather-pro-5
04/04/2022 04:55:00,0.6,80.9,2.7,0,weather-pro-5
04/04/2022 05:00:00,0.2,84.61,7.1,0,weather-pro-5
04/04/2022 05:05:00,-0.5,84.17,6.2,0,weather-pro-5
04/04/2022 05:10:00,0.3,84.48,8.1,0,weather-pro-5
04/04/2022 05:15:00,0.3,84.22,7.1,0,weather-pro-5
04/04/2022 05:20:00,1,84.8,6.3,0,weather-pro-5
04/04/2022 05:25:00,-0.2,85.18,7.4,0,weather-pro-5
04/04/2022 05:30:00,0,85.42,7.5,0,weather-pro-5
04/04/2022 05:35:00,0.2,85.47,7.6,0,weather-pro-5
04/04/2022 05:40:00,0.2,83.8,7.5,0,weather-pro-5
04/04/2022 05:45:00,-0.1,83.85,8,0,weather-pro-5
04/04/2022 05:50:00,0.4,84.42,7,0,weather-pro-5
04/04/2022 05:55:00,-0.6,84.43,6.2,0,weather-pro-5
04/04/2022 06:00:00,-1,92.92,1.8,0,weather-pro-5
04/04/2022 06:05:00,-1,92.93,2.6,0,weather-pro-5
04/04/2022 06:10:00,-1.7,92.25,1.1,0,weather-pro-5
04/04/2022 06:15:00,-0.9,93.63,1.3,0,weather-pro-5
04/04/2022 06:20:00,-0.6,92.9,1.5,0,weather-pro-5
04/04/2022 06:25:00,-0.8,93.51,2.7,0,weather-pro-5
04/04/2022 06:30:00,-0.7,93.23,2.7,0,weather-pro-5
04/04/2022 06:35:00,-1.4,92.59,1.5,0,weather-pro-5
04/04/2022 06:40:00,-0.2,92.97,1.9,0,weather-pro-5
04/04/2022 06:45:00,-1.9,92.71,1.8,0,weather-pro-5
04/04/2022 06:50:00,-0.1,92.38,2.1,0,weather-pro-5
04/04/2022 06:55:00,-0.2,92.73,2.2,0,weather-pro-5
04/04/2022 07:00:00,-1,86.29,1.8,0,weather-pro-5
04/04/2022 07:05:00,-1.9,86.37,1.2,0,weather-pro-5
04/04/2022 07:10:00,-1.1,85.81,1.6,0,weather-pro-5
04/04/2022 07:15:00,-0.9,86.4,2.2,0,weather-pro-5
04/04/2022 07:20:00,-0.4,86.18,2.5,0,weather-pro-5
04/04/2022 07:25:00,-1.4,86.66,2.7,0,weather-pro-5
04/04/2022 07:30:00,-2,86,1.8,0,weather-pro-5
04/04/2022 07:35:00,-1.7,86.14,1.1,0,weather-pro-5
04/04/2022 07:40:00,-0.1,86.54,1.9,0,weather-pro-5
04/04/2022 07:45:00,-1.7,85.87,1.9,0,weather-pro-5
04/04/2022 07:50:00,-1.8,86.3,1.6,0,weather-pro-5
04/04/2022 07:55:00,-0.6,86.78,1.7,0,weather-pro-5
04/04/2022 08:00:00,0.9,81.66,7.1,1,weather-pro-5
04/04/2022 08:05:00,0.6,80.79,6.8,1,weather-pro-5
04/04/2022 08:10:00,0.8,81.64,7.1,1,weather-pro-5
04/04/2022 08:15:00,-0.1,80.83,6.8,1,weather-pro-5
04/04/2022 08:20:00,0.1,80.7,7.8,1,weather-pro-5
04/04/2022 08:25:00,-0.1,82.58,7.4,1,weather-pro-5
04/04/2022 08:30:00,1.7,81.68,7,1,weather-pro-5
04/04/2022 08:35:00,0.5,82.14,6.2,1,weather-pro-5
04/04/2022 08:40:00,1.7,82.49,7.1,1,weather-pro-5
04/04/2022 08:45:00,0,81.05,7.1,1,weather-pro-5
04/04/2022 08:50:00,0.1,81.79,6.3,1,weather-pro-5
04/04/2022 08:55:00,1.8,81.24,7.6,1,weather-pro-5
04/04/2022 09:00:00,4,69.89,0,3,weather-pro-5
04/04/2022 09:05:00,4.3,68.94,0,3,weather-pro-5
04/04/2022 09:10:00,3.2,70.44,0.9,3,weather-pro-5
04/04/2022 09:15:00,4.2,70.14,0,3,weather-pro-5
04/04/2022 09:20:00,3.9,69.1,0.4,3,weather-pro-5
04/04/2022 09:25:00,4.2,69.31,0.9,3,weather-pro-5
04/04/2022 09:30:00,4.1,70.42,0.2,3,weather-pro-5
04/04/2022 09:35:00,4.7,70.67,0.2,3,weather-pro-5
04/04/2022 09:40:00,4.5,68.94,0.4,3,weather-pro-5
04/04/2022 09:45:00,4.3,70.05,0,3,weather-pro-5
04/04/2022 09:50:00,4.9,70.69,0.3,3,weather-pro-5
04/04/2022 09:55:00,4.8,69.6,0,3,weather-pro-5
04/04/2022 10:00:00,6,56.5,3.6,5,weather-pro-5
04/04/2022 10:05:00,6.7,56.13,3.3,5,weather-pro-5
04/04/2022 10:10:00,5.6,56.43,3,5,weather-pro-5
04/04/2022 10:15:00,5.8,56.01,3.2,5,weather-pro-5
04/04/2022 10:20:00,5.4,56.04,3.8,5,weather-pro-5
04/04/2022 10:25:00,6.8,56.37,3.1,5,weather-pro-5
04/04/2022 10:30:00,6.6,56.66,3.5,5,weather-pro-5
04/04/2022 10:35:00,6.1,57.18,4.6,5,weather-pro-5
04/04/2022 10:40:00,5.6,56.44,3.7,5,weather-pro-5
04/04/2022 10:45:00,6.1,56.15,4.5,5,weather-pro-5
04/04/2022 10:50:00,6.7,56.74,4,5,weather-pro-5
04/04/2022 10:55:00,5.6,57.15,3.4,5,weather-pro-5
04/04/2022 11:00:00,6.9,51.94,7.2,6,weather-pro-5
04/04/2022 11:05:00,6.5,51.18,7.1,6,weather-pro-5
04/04/2022 11:10:00,6.1,52.66,6.8,6,weather-pro-5
04/04/2022 11:15:00,7.7,51.79,7,6,weather-pro-5
04/04/2022 11:20:00,6.9,51.55,6.5,6,weather-pro-5
04/04/2022 11:25:00,7.3,52.17,6.8,6,weather-pro-5
04/04/2022 11:30:00,6.6,51.08,8,6,weather-pro-5
04/04/2022 11:35:00,7.4,51.71,6.7,6,weather-pro-5
04/04/2022 11:40:00,6.2,52.68,6.6,6,weather-pro-5
04/04/2022 11:45:00,6.7,52.82,7.7,6,weather-pro-5
04/04/2022 11:50:00,6.2,52.15,6.7,6,weather-pro-5
04/04/2022 11:55:00,7.8,51.02,6.5,6,weather-pro-5
04/04/2022 12:00:00,8,49.27,9.4,7,weather-pro-5
04/04/2022 12:05:00,7.9,49.52,9.1,7,weather-pro-5
04/04/2022 12:10:00,8,49.59,10.2,7,weather-pro-5
04/04/2022 12:15:00,7.4,49.39,10,7,weather-pro-5
04/04/2022 12:20:00,8.3,49.01,8.5,7,weather-pro-5
04/04/2022 12:25:00,7.4,49.71,9.9,7,weather-pro-5
04/04/2022 12:30:00,8.1,48.86,8.7,7,weather-pro-5
04/04/2022 12:35:00,7.7,49.24,9.7,7,weather-pro-5
04/04/2022 12:40:00,8.9,49.5,9.8,7,weather-pro-5
04/04/2022 12:45:00,7.1,48.38,8.7,7,weather-pro-5
04/04/2022 12:50:00,8.9,50.23,8.6,7,weather-pro-5
04/04/2022 12:55:00,7.3,50.22,9.6,7,weather-pro-5
04/04/2022 13:00:00,9,46.04,3.6,7,weather-pro-5
04/04/2022 13:05:00,9.1,46.11,3.5,7,weather-pro-5
04/04/2022 13:10:00,8.6,45.74,2.8,7,weather-pro-5
04/04/2022 13:15:00,9,46.89,3.9,7,weather-pro-5
04/04/2022 13:20:00,8.1,45.81,4,7,weather-pro-5
04/04/2022 13:25:00,9.8,45.12,4.4,7,weather-pro-5
04/04/2022 13:30:00,8.5,45.33,3.2,7,weather-pro-5
04/04/2022 13:35:00,9.2,45.7,4.3,7,weather-pro-5
04/04/2022 13:40:00,9.4,46.38,3.1,7,weather-pro-5
04/04/2022 13:45:00,8,46.09,4.2,7,weather-pro-5
04/04/2022 13:50:00,9.1,46.26,3.2,7,weather-pro-5
04/04/2022 13:55:00,8.8,45.5,3.4,7,weather-pro-5
04/04/2022 14:00:00,9.6,40.57,3.6,7,weather-pro-5
04/04/2022 14:05:00,9.2,40.56,3.1,7,weather-pro-5
04/04/2022 14:10:00,8.8,39.88,2.7,7,weather-pro-5
04/04/2022 14:15:00,9.1,40.97,4.1,7,weather-pro-5
04/04/2022 14:20:00,9.6,40.19,4.2,7,weather-pro-5
04/04/2022 14:25:00,9.9,40.43,4.3,7,weather-pro-5
04/04/2022 14:30:00,9.8,40.38,4.5,7,weather-pro-5
04/04/2022 14:35:00,10,40.9,4.5,7,weather-pro-5
04/04/2022 14:40:00,10.1,41.34,3.3,7,weather-pro-5
04/04/2022 14:45:00,8.8,40.14,4.1,7,weather-pro-5
04/04/2022 14:50:00,9.8,39.94,3.3,7,weather-pro-5
04/04/2022 14:55:00,10.2,40.29,2.9,7,weather-pro-5
04/04/2022 15:00:00,11,40.27,1.8,6,weather-pro-5
04/04/2022 15:05:00,11.6,40.88,2.3,6,weather-pro-5
04/04/2022 15:10:00,10.8,39.43,1.8,6,weather-pro-5
04/04/2022 15:15:00,11.1,40.81,1.5,6,weather-pro-5
04/04/2022 15:20:00,10.4,39.81,1,6,weather-pro-5
04/04/2022 15:25:00,10.7,40.54,1.2,6,weather-pro-5
04/04/2022 15:30:00,11.1,39.44,1.3,6,weather-pro-5
04/04/2022 15:35:00,10.2,39.39,1.1,6,weather-pro-5
04/04/2022 15:40:00,10.5,40.07,2.8,6,weather-pro-5
04/04/2022 15:45:00,11.8,41.13,1.1,6,weather-pro-5
04/04/2022 15:50:00,10.8,39.73,2,6,weather-pro-5
04/04/2022 15:55:00,11.9,39.76,1.3,6,weather-pro-5
04/04/2022 16:00:00,10,46.33,5.4,5,weather-pro-5
04/04/2022 16:05:00,9.2,46.79,4.7,5,weather-pro-5
04/04/2022 16:10:00,9.3,46.79,4.9,5,weather-pro-5
04/04/2022 16:15:00,10.2,47.2,5.7,5,weather-pro-5
04/04/2022 16:20:00,10.9,46.94,4.7,5,weather-pro-5
04/04/2022 16:25:00,10.5,45.71,4.5,5,weather-pro-5
04/04/2022 16:30:00,9.2,45.41,5.9,5,weather-pro-5
04/04/2022 16:35:00,9.1,45.94,5.9,5,weather-pro-5
04/04/2022 16:40:00,10.6,46.41,6.1,5,weather-pro-5
04/04/2022 16:45:00,10.8,45.78,4.4,5,weather-pro-5
04/04/2022 16:50:00,9.3,45.93,4.8,5,weather-pro-5
04/04/2022 16:55:00,9.5,45.38,4.7,5,weather-pro-5
04/04/2022 17:00:00,10.1,42.2,3.6,4,weather-pro-5
04/04/2022 17:05:00,9.3,42.13,3,4,weather-pro-5
04/04/2022 17:10:00,9.5,42.88,4,4,weather-pro-5
04/04/2022 17:15:00,11.1,41.77,3.1,4,weather-pro-5
04/04/2022 17:20:00,11.1,42.3,4.1,4,weather-pro-5
04/04/2022 17:25:00,9.3,41.73,4.5,4,weather-pro-5
04/04/2022 17:30:00,10.7,42.31,4.4,4,weather-pro-5
04/04/2022 17:35:00,11,41.81,4.4,4,weather-pro-5
04/04/2022 17:40:00,10.9,42.56,4.2,4,weather-pro-5
04/04/2022 17:45:00,9.3,42.05,3.3,4,weather-pro-5
04/04/2022 17:50:00,10.8,42.51,4.4,4,weather-pro-5
04/04/2022 17:55:00,11.1,42.47,4.4,4,weather-pro-5
04/04/2022 18:00:00,10,46.33,3.6,2,weather-pro-5
04/04/2022 18:05:00,10.1,45.57,4.3,2,weather-pro-5
04/04/2022 18:10:00,9.2,46.18,3.3,2,weather-pro-5
04/04/2022 18:15:00,10.2,46.32,3,2,weather-pro-5
04/04/2022 18:20:00,10.9,47.04,3.2,2,weather-pro-5
04/04/2022 18:25:00,9.9,45.42,3,2,weather-pro-5
