time,deviceid,temperature,humidity,windspeed,uvindex
2022-03-21 00:00:00,weather-pro-1,-5,65,9,0
2022-03-21 00:05:00,weather-pro-1,-5,65,6,0
2022-03-21 00:10:00,weather-pro-1,-5,65,8,0
2022-03-21 00:15:00,weather-pro-1,-5,64,9,0
2022-03-21 00:20:00,weather-pro-1,-5,65,10,0
2022-03-21 00:25:00,weather-pro-1,-5,64,9,0
2022-03-21 00:30:00,weather-pro-1,-5,65,9,0
2022-03-21 00:35:00,weather-pro-1,-5,66,7,0
2022-03-21 00:40:00,weather-pro-1,-5,63,8,0
2022-03-21 00:45:00,weather-pro-1,-5,64,9,0
2022-03-21 00:50:00,weather-pro-1,-5,65,10,0
2022-03-21 00:55:00,weather-pro-1,-5,64,9,0
2022-03-21 01:00:00,weather-pro-1,-5,65,9,0
2022-03-21 01:05:00,weather-pro-1,-5,65,6,0
2022-03-21 01:10:00,weather-pro-1,-5,65,8,0
2022-03-21 01:15:00,weather-pro-1,-5,64,9,0
2022-03-21 01:20:00,weather-pro-1,-5,65,10,0
2022-03-21 01:25:00,weather-pro-1,-5,64,9,0
2022-03-21 01:30:00,weather-pro-1,-5,65,9,0
2022-03-21 01:35:00,weather-pro-1,-5,66,7,0
2022-03-21 01:40:00,weather-pro-1,-5,63,8,0
2022-03-21 01:45:00,weather-pro-1,-5,64,9,0
2022-03-21 01:50:00,weather-pro-1,-6,65,10,0
2022-03-21 01:55:00,weather-pro-1,-6,64,9,0
2022-03-21 02:00:00,weather-pro-1,-6,70,7,0
2022-03-21 02:05:00,weather-pro-1,-6,72,6,0
2022-03-21 02:10:00,weather-pro-1,-6,71,8,0
2022-03-21 02:15:00,weather-pro-1,-6,75,7,0
2022-03-21 02:20:00,weather-pro-1,-6,69,9,0
2022-03-21 02:25:00,weather-pro-1,-6,70,9,0
2022-03-21 02:30:00,weather-pro-1,-6,72,7,0
2022-03-21 02:35:00,weather-pro-1,-6,72,7,0
2022-03-21 02:40:00,weather-pro-1,-6,73,8,0
2022-03-21 02:45:00,weather-pro-1,-7,71,9,0
2022-03-21 02:50:00,weather-pro-1,-7,70,6,0
2022-03-21 02:55:00,weather-pro-1,-7,71,7,0
2022-03-21 03:00:00,weather-pro-1,-7,70,7,0
2022-03-21 03:05:00,weather-pro-1,-7,73,6,0
2022-03-21 03:10:00,weather-pro-1,-7,72,8,0
2022-03-21 03:15:00,weather-pro-1,-6,75,7,0
2022-03-21 03:20:00,weather-pro-1,-7,75,9,0
2022-03-21 03:25:00,weather-pro-1,-7,70,9,0
2022-03-21 03:30:00,weather-pro-1,-6,72,7,0
2022-03-21 03:35:00,weather-pro-1,-8,72,7,0
2022-03-21 03:40:00,weather-pro-1,-7,73,8,0
