time,temperature,humidity,windspeed,uvindex,deviceid
04/04/2022 00:00:00,3.7,81.41,14.5,0,weather-pro-4
04/04/2022 00:05:00,4.7,80.7,15.4,0,weather-pro-4
04/04/2022 00:10:00,4,80.64,13.9,0,weather-pro-4
04/04/2022 00:15:00,3.2,80.62,13.6,0,weather-pro-4
04/04/2022 00:20:00,3.3,81.86,14.7,0,weather-pro-4
04/04/2022 00:25:00,3.4,80.76,14.3,0,weather-pro-4
04/04/2022 00:30:00,2.8,81.28,13.6,0,weather-pro-4
04/04/2022 00:35:00,3.6,81.03,13.8,0,weather-pro-4
04/04/2022 00:40:00,3.6,81.55,14,0,weather-pro-4
04/04/2022 00:45:00,4.5,80.57,13.6,0,weather-pro-4
04/04/2022 00:50:00,2.9,82.09,14.8,0,weather-pro-4
04/04/2022 00:55:00,3,81.69,14.8,0,weather-pro-4
04/04/2022 01:00:00,3.7,81.41,13.6,0,weather-pro-4
04/04/2022 01:05:00,2.8,82.22,13.9,0,weather-pro-4
04/04/2022 01:10:00,4.6,81.15,13.5,0,weather-pro-4
04/04/2022 01:15:00,2.9,80.88,12.9,0,weather-pro-4
04/04/2022 01:20:00,4.6,81.51,12.7,0,weather-pro-4
04/04/2022 01:25:00,4.4,82.18,14.2,0,weather-pro-4
04/04/2022 01:30:00,4.1,81.39,14.5,0,weather-pro-4
04/04/2022 01:35:00,3.8,82.18,14,0,weather-pro-4
04/04/2022 01:40:00,4.3,81.65,13.5,0,weather-pro-4
04/04/2022 01:45:00,4,81.83,13.1,0,weather-pro-4
04/04/2022 01:50:00,3,81.03,13,0,weather-pro-4
04/04/2022 01:55:00,4.5,81.89,13.8,0,weather-pro-4
04/04/2022 02:00:00,3.6,78.13,3.8,0,weather-pro-4
04/04/2022 02:05:00,4.2,78.52,4,0,weather-pro-4
04/04/2022 02:10:00,4.3,79.09,4.5,0,weather-pro-4
04/04/2022 02:15:00,4.6,78.29,3.7,0,weather-pro-4
04/04/2022 02:20:00,3.9,78.12,3.1,0,weather-pro-4
04/04/2022 02:25:00,4.1,79.03,4.7,0,weather-pro-4
04/04/2022 02:30:00,3.2,78.07,3.9,0,weather-pro-4
04/04/2022 02:35:00,3.9,78.96,2.8,0,weather-pro-4
04/04/2022 02:40:00,4.4,78.49,4.6,0,weather-pro-4
04/04/2022 02:45:00,3.1,78.61,3.3,0,weather-pro-4
04/04/2022 02:50:00,4.2,77.86,4.2,0,weather-pro-4
04/04/2022 02:55:00,3.1,77.66,4.5,0,weather-pro-4
04/04/2022 03:00:00,1.1,90.08,8.2,0,weather-pro-4
04/04/2022 03:05:00,0.4,90.26,7.5,0,weather-pro-4
04/04/2022 03:10:00,1.6,89.16,8.1,0,weather-pro-4
04/04/2022 03:15:00,0.4,89.55,8,0,weather-pro-4
04/04/2022 03:20:00,2,89.54,7.3,0,weather-pro-4
04/04/2022 03:25:00,1.4,89.43,8.3,0,weather-pro-4
04/04/2022 03:30:00,0.6,89.77,8.7,0,weather-pro-4
04/04/2022 03:35:00,0.6,89.45,9,0,weather-pro-4
04/04/2022 03:40:00,1.4,89.93,8.3,0,weather-pro-4
04/04/2022 03:45:00,1.6,89.76,7.5,0,weather-pro-4
04/04/2022 03:50:00,0.6,90.76,8.2,0,weather-pro-4
04/04/2022 03:55:00,0.7,90.52,7.9,0,weather-pro-4
04/04/2022 04:00:00,0.1,94.89,6.5,0,weather-pro-4
04/04/2022 04:05:00,-0.3,95.46,7.2,0,weather-pro-4
04/04/2022 04:10:00,0.5,95.54,6.6,0,weather-pro-4
04/04/2022 04:15:00,0.8,95.19,6.6,0,weather-pro-4
04/04/2022 04:20:00,-0.7,95.75,7.3,0,weather-pro-4
04/04/2022 04:25:00,0.5,94.22,7.4,0,weather-pro-4
04/04/2022 04:30:00,-0.7,95.73,7.1,0,weather-pro-4
04/04/2022 04:35:00,0.4,94.58,5.7,0,weather-pro-4
04/04/2022 04:40:00,1.1,95.74,7.4,0,weather-pro-4
04/04/2022 04:45:00,-0.2,94.05,7.3,0,weather-pro-4
04/04/2022 04:50:00,0.8,95.66,7.5,0,weather-pro-4
04/04/2022 04:55:00,0.7,95.77,7.1,0,weather-pro-4
04/04/2022 05:00:00,1.5,84.27,3.6,0,weather-pro-4
04/04/2022 05:05:00,2.4,83.79,4.4,0,weather-pro-4
04/04/2022 05:10:00,2.1,84.36,3.6,0,weather-pro-4
04/04/2022 05:15:00,2.5,83.28,4.6,0,weather-pro-4
04/04/2022 05:20:00,1.9,83.36,4.5,0,weather-pro-4
04/04/2022 05:25:00,1.9,84.14,4.5,0,weather-pro-4
04/04/2022 05:30:00,0.5,84.5,4.4,0,weather-pro-4
04/04/2022 05:35:00,0.9,84.12,3.8,0,weather-pro-4
04/04/2022 05:40:00,0.8,84.27,3.6,0,weather-pro-4
04/04/2022 05:45:00,1.4,84.9,2.6,0,weather-pro-4
04/04/2022 05:50:00,1.4,83.86,3,0,weather-pro-4
04/04/2022 05:55:00,0.7,85.04,2.9,0,weather-pro-4
04/04/2022 06:00:00,-0.5,89.96,5.9,0,weather-pro-4
04/04/2022 06:05:00,0.3,90.02,5.9,0,weather-pro-4
04/04/2022 06:10:00,0.5,89,6.3,0,weather-pro-4
04/04/2022 06:15:00,-0.8,90.93,5.5,0,weather-pro-4
04/04/2022 06:20:00,0.4,89.2,6.5,0,weather-pro-4
04/04/2022 06:25:00,-0.5,89.48,6.7,0,weather-pro-4
04/04/2022 06:30:00,-1.4,89.45,5.4,0,weather-pro-4
04/04/2022 06:35:00,-1,89.25,5.9,0,weather-pro-4
04/04/2022 06:40:00,-0.6,90.61,5.6,0,weather-pro-4
04/04/2022 06:45:00,0.3,90.78,6.2,0,weather-pro-4
04/04/2022 06:50:00,0.1,89.6,5.5,0,weather-pro-4
04/04/2022 06:55:00,-0.5,89.11,6.4,0,weather-pro-4
04/04/2022 07:00:00,-0.5,89.96,6.9,0,weather-pro-4
04/04/2022 07:05:00,-0.5,90.65,6.8,0,weather-pro-4
04/04/2022 07:10:00,-1.5,90.34,6.3,0,weather-pro-4
04/04/2022 07:15:00,-1,90.68,6.8,0,weather-pro-4
04/04/2022 07:20:00,-0.4,89.63,6.4,0,weather-pro-4
04/04/2022 07:25:00,-0.3,89.57,6.3,0,weather-pro-4
04/04/2022 07:30:00,-0.6,89.93,7.3,0,weather-pro-4
04/04/2022 07:35:00,0.4,89.62,7.1,0,weather-pro-4
04/04/2022 07:40:00,-0.5,90.4,6.9,0,weather-pro-4
04/04/2022 07:45:00,-0.1,89.17,7.2,0,weather-pro-4
04/04/2022 07:50:00,-0.2,89.24,7.8,0,weather-pro-4
04/04/2022 07:55:00,-0.6,89.36,7.5,0,weather-pro-4
04/04/2022 08:00:00,2.1,80.78,3.7,2,weather-pro-4
04/04/2022 08:05:00,1.2,81.42,3.1,2,weather-pro-4
04/04/2022 08:10:00,2.9,80.84,4,2,weather-pro-4
04/04/2022 08:15:00,1.4,80.95,3.8,2,weather-pro-4
04/04/2022 08:20:00,1.3,79.8,4.5,2,weather-pro-4
04/04/2022 08:25:00,1.8,80.94,3.1,2,weather-pro-4
04/04/2022 08:30:00,2.5,79.85,3.4,2,weather-pro-4
04/04/2022 08:35:00,1.9,79.94,2.9,2,weather-pro-4
04/04/2022 08:40:00,2.5,81.05,3.8,2,weather-pro-4
04/04/2022 08:45:00,1.3,80,2.7,2,weather-pro-4
04/04/2022 08:50:00,1.3,81.78,3.8,2,weather-pro-4
04/04/2022 08:55:00,2.2,79.86,3.8,2,weather-pro-4
04/04/2022 09:00:00,3,77.45,6.5,4,weather-pro-4
04/04/2022 09:05:00,2.5,77.66,5.6,4,weather-pro-4
04/04/2022 09:10:00,4,77.98,6.4,4,weather-pro-4
04/04/2022 09:15:00,2.9,77.5,6,4,weather-pro-4
04/04/2022 09:20:00,2.9,76.53,7.3,4,weather-pro-4
04/04/2022 09:25:00,2.1,76.94,5.7,4,weather-pro-4
04/04/2022 09:30:00,4,76.68,6.2,4,weather-pro-4
04/04/2022 09:35:00,2,76.99,5.6,4,weather-pro-4
